"cluster_set","featset","focgene","subtype","alpha","lambda","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H16N3",0.5,0.001,0.910155189540693,0.544527206826129,0.0172187549312838,0.0508556976262824
"70_7","cds_compbias","HA","H16N3",0.5,0.01,0.917724704142919,0.576474634091192,0.0113264175422776,0.0432705009517186
"70_7","cds_compbias","HA","H16N3",0.5,0.1,0.896911916073219,0.516565927175667,0.0213017222135256,0.0566087910558572
"70_7","cds_compbias","HA","H16N3",0.5,1,0.413782000668441,0,0.46616402296871,0
"70_7","cds_compbias","HA","H16N3",0.5,10,0.413782000668441,0,0.46616402296871,0
"70_7","cds_compbias","HA","H16N3",1,0.001,0.909681255891404,0.545266582804209,0.0181309932390033,0.0542663559841035
"70_7","cds_compbias","HA","H16N3",1,0.01,0.910629144329803,0.549958770553968,0.0108603407977848,0.0394935799308393
"70_7","cds_compbias","HA","H16N3",1,0.1,0.878002689619439,0.467819138300234,0.027531129693605,0.0724248193118604
"70_7","cds_compbias","HA","H16N3",1,1,0.413782000668441,0,0.46616402296871,0
"70_7","cds_compbias","HA","H16N3",1,10,0.413782000668441,0,0.46616402296871,0
"70_7","cds_compbias","HA","H3N8",0,0.001,0.908735974353103,0.56091329258607,0.0120351017714243,0.0320624240639407
"70_7","cds_compbias","HA","H3N8",0,0.01,0.908735974353103,0.56091329258607,0.0120351017714243,0.0320624240639407
"70_7","cds_compbias","HA","H3N8",0,0.1,0.906213266162888,0.552738344938314,0.0115085620518791,0.0387544220876247
"70_7","cds_compbias","HA","H3N8",0,1,0.89259598503931,0.510218825571397,0.0090674776253456,0.0238174189765883
"70_7","cds_compbias","HA","H3N8",0,10,0.912261150548304,0.528770225924185,0.0103851837237806,0.0470254509623126
"70_7","cds_compbias","HA","H3N8",0.5,0.001,0.910244765030659,0.561369792431444,0.00944275028454833,0.0311280237234362
"70_7","cds_compbias","HA","H3N8",0.5,0.01,0.909237208355596,0.557783245022873,0.00824543922172834,0.0290653216450349
"70_7","cds_compbias","HA","H3N8",0.5,0.1,0.884019031626085,0.497456867699586,0.00984999228408417,0.0137370604075675
"70_7","cds_compbias","HA","H3N8",0.5,1,0.582950410910109,0,0.460696365077606,0
"70_7","cds_compbias","HA","H3N8",0.5,10,0.582950410910109,0,0.460696365077606,0
"70_7","cds_compbias","HA","H3N8",1,0.001,0.909238480523115,0.562207430246629,0.0111768536107732,0.0300753503229637
"70_7","cds_compbias","HA","H3N8",1,0.01,0.907213189832837,0.551485010671651,0.00597794109435886,0.00616736643626328
"70_7","cds_compbias","HA","H3N8",1,0.1,0.870905528840038,0.469891546059848,0.0111447859574284,0.0195413226522654
"70_7","cds_compbias","HA","H3N8",1,1,0.582950410910109,0,0.460696365077606,0
"70_7","cds_compbias","HA","H3N8",1,10,0.582950410910109,0,0.460696365077606,0
"70_7","cds_compbias","HA","H4N6",0,0.001,0.910380618457527,0.566425121036316,0.0108237742378993,0.0405022797659424
"70_7","cds_compbias","HA","H4N6",0,0.01,0.910380618457527,0.566425121036316,0.0108237742378993,0.0405022797659424
"70_7","cds_compbias","HA","H4N6",0,0.1,0.906355454856145,0.551207148546226,0.0144027153901851,0.053357636469519
